id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
36,SA29,small_airport,Choele Choel Airport,-39.28639984,-65.61029816,642,SA,AR,AR-R,Choele Choel,no,SA29,,OEL,,,SA29
37,SA30,closed,Colonia Catriel Airport,-37.91019821,-67.83499908,1026,SA,AR,AR-R,Colonia Catriel,no,,,,,https://en.wikipedia.org/wiki/Colonia_Catriel_Airport,"SA30, SA0U, SA30, CCT, CLT"
38,SA31,small_airport,San Nicolas de los Arroyos Airport,-33.3907,-60.1957,98,SA,AR,AR-B,San Nicolas,no,SA31,,SNY,,,SA31
39,SA32,small_airport,Venado Tuerto Airport,-33.6818,-61.9564,367,SA,AR,AR-S,Venado Tuerto,no,SAFV,,VNO,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_Municipal_Tomas_B._Kenny,SA32
40,SA33,small_airport,Comandante Luis Piedrabuena Airport,-49.9951,-68.9531,78,SA,AR,AR-Z,Comandante Luis Piedrabuena,no,SA33,,LPB,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Comandante_Luis_Piedrabuena,SA33
41,SA34,small_airport,Trelew Aeroclub Airport,-43.2356,-65.3241,127,SA,AR,AR-U,Trelew,no,SA34,,TRW,,https://es.wikipedia.org/wiki/Aeroclub_Trelew,SA34
42,SA35,small_airport,Andalgalá Airport,-27.631701,-66.3508,2952,SA,AR,AR-K,Andalgalá,no,SA35,,AND,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Andalgal%C3%A1,SA35
43,SA36,small_airport,Saladillo Airport,-35.604891,-59.816513,147,SA,AR,AR-B,Saladillo,no,SA36,,SDL,,,SA36
44,SA38,small_airport,Las Lajas Airport,-38.538898,-70.337097,2788,SA,AR,AR-Q,Las Lajas,no,SA38,,LLJ,,https://es.wikipedia.org/wiki/Aer%C3%B3dromo_Las_Lajas,SA38
45,SA39,small_airport,Jujuy Aeroclub Airport,-24.23649979,-65.26909637,4047,SA,AR,AR-Y,San Salvador de Jujuy,no,SA39,,JJA,,,SA39
46,SA40,small_airport,San Juan Aeroclub Airport,-31.60280037,-68.54730225,2079,SA,AR,AR-J,San Juan,no,SA40,,SJA,,,SA40
35336,SA41,small_airport,Aeródromo El Colorado,-26.316687,-59.339764,269,SA,AR,AR-P,El Colorado,no,SA41,,,,,SA41
47,SA42,small_airport,Santa Maria Airport,-26.67340088,-66.02400208,5904,SA,AR,AR-K,Santa Maria,no,SA42,,SMC,,,SA42
48,SA44,small_airport,Londres/Belén Airport,-27.70789909,-67.0951004,3936,SA,AR,AR-K,Londres/Belén,no,SA44,,BLN,,,SA44
49,SA45,small_airport,Frias Airport,-28.63439941,-65.10919952,1082,SA,AR,AR-G,Frias,no,SA45,,FRS,,,SA45
35332,SA46,small_airport,Fiambala Airport,-27.6422,-67.624702,5029,SA,AR,AR-K,Fiambala,no,SA46,,2380,,,SA46
32243,SAAA,small_airport,San Antonio de Areco Airport,-34.2214,-59.4422,98,SA,AR,AR-B,San Antonio de Areco,no,SAAA,,SNT,,https://en.wikipedia.org/wiki/San_Antonio_de_Areco_Airport,
5764,SAAC,medium_airport,Comodoro Pierrestegui Airport,-31.2969,-57.9966,112,SA,AR,AR-E,Concordia,no,SAAC,COC,DIA,,https://en.wikipedia.org/wiki/Comodoro_Pierrestegui_Airport,
5765,SAAG,medium_airport,Gualeguaychu Airport,-33.005567,-58.612833,75,SA,AR,AR-E,Gualeguaychu,no,SAAG,GHU,GUA,,https://en.wikipedia.org/wiki/Gualeguaych%C3%BA_Airport,
30303,SAAI,small_airport,Punta Indio Naval Air Base,-35.353298,-57.290001,49,SA,AR,AR-B,Veronica,no,SAAI,,PDI,,https://en.wikipedia.org/wiki/Punta_Indio_Naval_Air_Base,
5766,SAAJ,closed,Junin Airport,-34.546359,-60.930487,262,SA,AR,AR-B,Junin,no,,,,,https://en.wikipedia.org/wiki/Jun%C3%ADn_Airport,"SAAJ, SAAJ, JNI, NIN"
32244,SAAM,closed,Mazaruca Airport,-33.596001,-59.266998,20,SA,AR,AR-E,Puerto Ibicuy/Mazuraca,no,,,,,,"SAAM, SAAM"
5767,SAAN,small_airport,Pergamino Airport,-33.919,-60.648,236,SA,AR,AR-B,Pergamino,no,SAAN,,PER,,https://en.wikipedia.org/wiki/Pergamino_Aeroclub,
5768,SAAP,medium_airport,General Urquiza Airport,-31.7948,-60.4804,242,SA,AR,AR-E,Parana,yes,SAAP,PRA,PAR,,https://en.wikipedia.org/wiki/General_Urquiza_Airport,
